id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words,compression_ratio,is_bullet_format,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
38264402,tech,bullet_points_strict,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales is ""disappointing"", a charity has said.",3525,15,17,0.8823529411764706,0,0.3125,0.13333333333333333,0.25,0.9122166633605957,0.9157290458679199,0.9139695167541504
34227252,entertainment,bullet_points_strict,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296108484268188,0.9182326793670654,0.9238867163658142
38537698,tech,bullet_points_strict,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.8844709396362305,0.8978120684623718
36175342,sport,bullet_points_strict,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed former Arsenal youth academy director and youth academy director Darren Clarke as their new director of football.,313,22,15,1.4666666666666666,0,0.2631578947368421,0.05555555555555555,0.2631578947368421,0.9006370306015015,0.907526969909668,0.9040688872337341
39070183,tech,bullet_points_strict,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 diabetes.,3585,14,17,0.8235294117647058,0,0.43749999999999994,0.0,0.18750000000000003,0.8770020604133606,0.8894954323768616,0.8832045793533325
38899892,business,bullet_points_strict,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between two of the world's biggest companies, there's no way you'll be able to find it.",6147,26,24,1.0833333333333333,0,0.1851851851851852,0.0,0.11111111111111112,0.8723170161247253,0.8681740760803223,0.8702405691146851
39339718,sport,bullet_points_strict,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","Wendy Houvenaghel has said she feels ""vindicated"" by British Cycling's failures in the World Class Programme.",5432,16,19,0.8421052631578947,0,0.2222222222222222,0.11764705882352941,0.1111111111111111,0.9190068244934082,0.9116318225860596,0.9153044819831848
34571446,business,bullet_points_strict,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,"The Hideout is a comedy club in Austin, Texas.",5950,9,27,0.3333333333333333,0,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.9070320725440979,0.8586829304695129,0.8821955323219299
36892983,business,bullet_points_strict,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in early trading after the company's chief executive, Ofcom's Sharon White, said the company's pension scheme was ""practical obstacles"" to a break-up.",2398,26,29,0.896551724137931,0,0.2222222222222222,0.06557377049180328,0.19047619047619047,0.8659908771514893,0.8793990612030029,0.8726434707641602
37732028,sport,bullet_points_strict,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
32300397,business,bullet_points_strict,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,"The University of Queen's in Belfast is to cut its undergraduate and postgraduate places by 1,010 over the next three years, the BBC understands.",2309,24,16,1.5,0,0.372093023255814,0.09756097560975609,0.2790697674418605,0.8912345767021179,0.9161904454231262,0.9035401940345764
32672009,tech,bullet_points_strict,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,"East Sussex Healthcare NHS Trust has apologised for a ""two-week information leaflet"" being inserted with an appointment letter.",1318,18,20,0.9,0,0.10256410256410256,0.0,0.10256410256410256,0.8850730657577515,0.8914143443107605,0.888232409954071
38872899,politics,bullet_points_strict,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,"Labour has said it will not ""frustrate Brexit"" if it fails to amend its Brexit bill.",3157,16,22,0.7272727272727273,0,0.3157894736842105,0.0,0.2105263157894737,0.8892247080802917,0.8932316303253174,0.8912236094474792
37248643,sport,bullet_points_strict,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,The Gulls have agreed a deal to sell midfielder Sean O'Kane to the Cherries for £8m.,625,16,24,0.6666666666666666,0,0.2790697674418605,0.09756097560975609,0.23255813953488372,0.8957774639129639,0.8726987242698669,0.8840874433517456
38521798,tech,bullet_points_strict,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,"A psychiatric consultant has said he is ""extremely unhappy"" about a visit by a police officer to a ward at a hospital.",1314,22,22,1.0,0,0.3181818181818182,0.14285714285714285,0.22727272727272727,0.9026289582252502,0.9021520018577576,0.9023904204368591
29771956,sport,bullet_points_strict,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,Leicester City have signed Leicester City winger Chris Taylor-Fletcher on a one-year deal.,343,13,14,0.9285714285714286,0,0.3225806451612903,0.1379310344827586,0.3225806451612903,0.9461217522621155,0.9351902008056641,0.9406242370605469
38322594,politics,bullet_points_strict,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.","The chief scientist of Nasa has warned that access to climate data will be a ""tremendous disservice to the citizens of this country and to the world in general"".",5964,29,22,1.3181818181818181,0,0.47058823529411764,0.20408163265306123,0.3137254901960784,0.917674720287323,0.9293165802955627,0.9234589338302612
35194738,entertainment,bullet_points_strict,"John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",The Specials drummer John 'Brad' Bradbury has died at the age of 84.,2284,13,14,0.9285714285714286,0,0.888888888888889,0.64,0.6666666666666666,0.9817701578140259,0.9701306819915771,0.9759156703948975
38781058,sport,bullet_points_strict,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",World number one Woods missed the cut at the San Diego Open as he missed the cut by four shots.,1084,20,18,1.1111111111111112,0,0.45,0.3157894736842105,0.4000000000000001,0.9169086813926697,0.8983135223388672,0.907515823841095
40181128,sport,bullet_points_strict,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.","Manchester United striker Ashley Cole says he has a ""long road ahead"" after a kidney transplant.",1760,16,20,0.8,0,0.5555555555555556,0.35294117647058826,0.5555555555555556,0.9707770347595215,0.95908522605896,0.9648957252502441
35345872,tech,bullet_points_strict,"Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",Pakistan's government has lifted a ban on YouTube in the country.,2050,11,24,0.4583333333333333,0,0.2777777777777778,0.0,0.16666666666666666,0.9254280924797058,0.8704209923744202,0.8970820903778076
32148941,sport,bullet_points_strict,"Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",Leicester's Ben Benjamin will miss the rest of the season because of a neck injury.,676,15,25,0.6,0,0.5365853658536586,0.35897435897435903,0.5365853658536586,0.958945095539093,0.9216182827949524,0.9399112462997437
37066439,sport,bullet_points_strict,Owain Doull has won Wales' first gold of the 2016 Olympics as he helped the Great Britain men's team pursuit defend their cycling title in Rio.,Great Britain's Mark Doull won a silver medal in the women's team pursuit at the Rio Olympics.,2573,17,26,0.6538461538461539,0,0.5217391304347826,0.13636363636363638,0.30434782608695654,0.9206988215446472,0.8867021203041077,0.9033807516098022
40787080,tech,bullet_points_strict,"Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.","The death toll from floods in Gujarat state has risen to more than 100 people, officials say.",755,17,16,1.0625,0,0.42424242424242425,0.06451612903225808,0.30303030303030304,0.9285959005355835,0.9357650876045227,0.9321666955947876
39192648,sport,bullet_points_strict,All images copyrighted.,Snowsports lovers got married on skis in Scotland's Nevis Range.,2058,10,3,3.3333333333333335,0,0.0,0.0,0.0,0.8195071816444397,0.8666239976882935,0.8424072861671448
27119429,business,bullet_points_strict,"Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",Hong Kong's Royal Bank of Scotland (RBS) has been fined a record amount by the Hong Kong Securities and Exchange Commission (HKSEC).,1574,22,29,0.7586206896551724,0,0.4444444444444444,0.30769230769230765,0.40740740740740744,0.9167636036872864,0.8820927143096924,0.8990941047668457
38952672,politics,bullet_points_strict,"The Bafta awards had laughter, passion and plenty of politics.",Baftas - the best of the best - and the best of the best of the best.,4391,17,10,1.7,0,0.24,0.0,0.24,0.8528580665588379,0.8807975649833679,0.8666026592254639
40458642,sport,bullet_points_strict,"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",Defending champion Andy Murray's record at Wimbledon has been shattered by a knee injury.,4120,14,15,0.9333333333333333,0,0.13333333333333333,0.07142857142857142,0.13333333333333333,0.8772261142730713,0.8527766466140747,0.8648285865783691
39935147,entertainment,bullet_points_strict,South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,Police in South Africa are questioning two men who robbed women of their mobile phones in a pub.,601,18,23,0.782608695652174,0,0.1951219512195122,0.0,0.14634146341463414,0.9018239378929138,0.8880009651184082,0.8948590755462646
34911128,tech,bullet_points_strict,"A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said.",A school shooting at a primary school in Merseyside is being investigated by police.,1163,14,24,0.5833333333333334,0,0.3684210526315789,0.2222222222222222,0.3684210526315789,0.9257766604423523,0.8989096879959106,0.9121454358100891
32950992,sport,bullet_points_strict,Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.,Great Britain's Laura Ennis-Hill has slipped to third place in the women's 800m at the Gotzis Hypo-Meeting.,866,17,17,1.0,0,0.5500000000000002,0.2105263157894737,0.45,0.9277706146240234,0.9389522075653076,0.9333279132843018
38772098,sport,bullet_points_strict,The Manor team have collapsed after administrators failed to find a buyer for the stricken business.,Manor Racing have collapsed following the collapse of the team.,3306,10,16,0.625,0,0.4615384615384615,0.08333333333333334,0.3076923076923077,0.9206019639968872,0.8952202200889587,0.9077337384223938
38914203,politics,bullet_points_strict,A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.,There are a total of 228 candidates in the assembly election in Northern Ireland.,893,14,20,0.7,0,0.6060606060606061,0.3870967741935484,0.48484848484848486,0.9633104205131531,0.9131302237510681,0.937549352645874
37624408,business,bullet_points_strict,"With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?",The pound has fallen 18% against the dollar on the judgment that growth is likely to be stronger in the US than the UK and that UK interest rates are falling.,2104,31,48,0.6458333333333334,0,0.379746835443038,0.0779220779220779,0.20253164556962025,0.8773792386054993,0.8680180907249451,0.8726735711097717
34631268,entertainment,bullet_points_strict,A philosophy student who wears vintage clothing has won a national contest for alternative models.,The winner of the Alternative Model of the Year contest has said she has always wanted to be a model.,988,20,15,1.3333333333333333,0,0.2285714285714286,0.0,0.1142857142857143,0.8969124555587769,0.8970617055892944,0.8969870805740356
