prompt_name,genre,rouge1,rouge2,rougeL,bertscore_f1,generated_length_words,compression_ratio,bullet_format_rate,n
bullet_points,business,0.30541947533918046,0.08414531090566041,0.24085844786070432,0.9004281318187713,17.4,0.8455201622896893,0.0,100
bullet_points,entertainment,0.3349139984869516,0.13580892397577135,0.27601081257220383,0.9022989374399185,15.28,0.8071935596091067,0.0,100
bullet_points,politics,0.328815708229465,0.12419634047063832,0.2611881190669683,0.9019752651453018,17.64,0.8435524678448246,0.0,100
bullet_points,sport,0.334955345616696,0.14197048750749597,0.2801986827204066,0.9026441925764084,17.43,0.9358863241603618,0.0,100
bullet_points,tech,0.3512636907617441,0.13915627883664639,0.28407586212387465,0.9071582651138306,16.83,0.857514903665902,0.0,100
bullet_points_strict,business,0.31813688668941714,0.09797291130371438,0.25365700993222157,0.9008609545230866,17.39,0.8384379240511914,0.0,200
bullet_points_strict,entertainment,0.33676736547637875,0.13405911792380945,0.2744317977788432,0.901362352669239,15.6,0.826832983772012,0.0,200
bullet_points_strict,politics,0.33781474904564796,0.12356534149954414,0.2723194757891154,0.9015362876653671,18.47,0.8828350973056529,0.0,200
bullet_points_strict,sport,0.3440886263047156,0.1457307030968748,0.28749793415422237,0.9044033440947533,16.89,0.8626998365988776,0.0,200
bullet_points_strict,tech,0.34710125174797724,0.13912071931274875,0.27764120301692335,0.9069142323732376,16.13,0.8262761054274773,0.0,200
fact_constrained,business,0.30751188492741865,0.08311841279648653,0.23770501261766785,0.9014326518774033,17.02,0.8218456114456903,0.0,100
fact_constrained,entertainment,0.3441598480756651,0.13838840009177564,0.279063955619801,0.90279829621315,15.12,0.7942341172845108,0.0,100
fact_constrained,politics,0.3283657845670376,0.1261647097256,0.26624028496792795,0.9019919687509537,17.37,0.8365353750675163,0.0,100
fact_constrained,sport,0.34661789704029333,0.14877192513712573,0.2877420837937405,0.9035435664653778,17.52,0.9027948610458881,0.0,100
fact_constrained,tech,0.35250960101217743,0.13973285871332863,0.27934263432582596,0.9076101863384247,16.4,0.8326400960017217,0.0,100
one_sentence,business,0.3000922415216799,0.08945518404413635,0.2352103354506507,0.8986104166507721,18.8,0.9203418162970042,0.0,100
one_sentence,entertainment,0.33230648636383747,0.13261701311207885,0.2703553498212704,0.9001108551025391,15.5,0.8180740007445754,0.0,100
one_sentence,politics,0.3350305000127131,0.12362640921810893,0.26622092949266335,0.9017009979486466,17.87,0.8521499034780001,0.0,100
one_sentence,sport,0.34933174936339867,0.14976309407214472,0.2952003333604669,0.9044533717632294,17.27,0.8985994099314208,0.0,100
one_sentence,tech,0.3444127358781944,0.1271807712702101,0.27319862490822805,0.9048515796661377,17.52,0.9132371601696785,0.0,100
tldr,business,0.30052874004297064,0.09104440814136544,0.24308735688474875,0.8989524120092391,16.82,0.8143278185446228,0.0,100
tldr,entertainment,0.33878530907107485,0.12853626192747386,0.2749658683549999,0.9019820934534073,15.15,0.7990221106118663,0.0,100
tldr,politics,0.3224403309697118,0.12233416398761289,0.2569713876730232,0.9020981264114379,17.55,0.8449515847285923,0.0,100
tldr,sport,0.3382798922738774,0.14221115746267363,0.2810138310468787,0.9017364978790283,17.56,0.9201685397441018,0.0,100
tldr,tech,0.3406870179467022,0.12866475863032079,0.27396817185386263,0.9049542766809463,16.14,0.8238423605014792,0.0,100
