prompt_name,genre,rouge1,rouge2,rougeL,bertscore_f1,generated_length_words,compression_ratio,bullet_format_rate,n
bullet_points_strict,business,0.3248702105561099,0.11745042986475825,0.27009911324012,0.8901280999183655,19.7,0.8421593982420553,0.0,10
tldr,business,0.29981031780529666,0.11799400501487786,0.2689788063291657,0.883702301979065,18.6,0.834537412666216,0.0,10
one_sentence,business,0.3154783262194006,0.12079034324007212,0.26451804461385203,0.8908442437648774,23.7,1.1263341409360679,0.0,10
fact_constrained,business,0.32019758267035275,0.1121243497929294,0.2584810985988496,0.8935519814491272,20.6,0.9004124408384044,0.0,10
bullet_points,business,0.30280243747962543,0.08510293705749047,0.24136962883017402,0.8852694630622864,19.5,0.86626333483585,0.0,10
fact_constrained,entertainment,0.3444390283799783,0.16722569903215062,0.2587738399099118,0.8969798803329467,15.0,0.7294108082407316,0.0,10
bullet_points_strict,entertainment,0.33099359253075333,0.15554719235364395,0.25079945834343603,0.8951282143592835,13.8,0.685488432307486,0.0,10
bullet_points,entertainment,0.3126487396500234,0.13558119658119658,0.24104635971644955,0.8978541791439056,15.1,0.7343971624662162,0.0,10
tldr,entertainment,0.3021614687993998,0.12495713024184271,0.23268915949950433,0.893949568271637,14.0,0.6922041831664594,0.0,10
one_sentence,entertainment,0.292036356985496,0.11753357753357754,0.21946553515833317,0.8906992971897125,13.5,0.6475266364780431,0.0,10
bullet_points_strict,politics,0.3918210934854107,0.1610901909150757,0.3093616373647992,0.899331909418106,17.7,0.9126612180922524,0.0,10
one_sentence,politics,0.3734049198510929,0.168968253968254,0.3021848264680872,0.9017469882965088,16.0,0.7530696745782952,0.0,10
bullet_points,politics,0.34814686012529056,0.16711484593837536,0.28587366376540685,0.8973403871059418,14.6,0.7070967681743544,0.0,10
tldr,politics,0.3572741491765797,0.16564567610528486,0.28144543552656864,0.900920706987381,15.8,0.8509117032392896,0.0,10
fact_constrained,politics,0.36109568335574527,0.1591104652144198,0.27787972605310063,0.9028349399566651,14.5,0.6939420062695925,0.0,10
one_sentence,sport,0.34576631329413016,0.17563234620945656,0.313155439891678,0.9099644184112549,18.0,1.3229735151703115,0.0,10
bullet_points,sport,0.3359844930426493,0.1734695565906038,0.30067676459538595,0.908624792098999,18.9,1.5873665490370297,0.0,10
bullet_points_strict,sport,0.33413867718824025,0.1622763269964394,0.29163727285164887,0.9100997805595398,16.2,1.1141431058135864,0.0,10
tldr,sport,0.3186062313692936,0.14404366591747997,0.27009426896332067,0.9036989152431488,16.2,1.222873264543745,0.0,10
fact_constrained,sport,0.31662644671192863,0.14351394319818755,0.2690972555168868,0.9080741107463837,17.4,1.1811174647879454,0.0,10
bullet_points,tech,0.348075093654779,0.11486899104408665,0.2630480985987142,0.909311157464981,16.3,0.8073381475952145,0.0,10
tldr,tech,0.3459844656884359,0.09688180531617684,0.25819390718977353,0.9088372826576233,16.3,0.8057146879346704,0.0,10
one_sentence,tech,0.32838835741812783,0.1014357953874083,0.22923150140151574,0.9062573254108429,15.9,0.7904606772394833,0.0,10
bullet_points_strict,tech,0.3114084005970285,0.0834448973965103,0.22898816162191152,0.9046132326126098,16.2,0.7989499820523175,0.0,10
fact_constrained,tech,0.32398139956604805,0.09166740916740916,0.22860246497979636,0.9037526369094848,17.0,0.844932602373173,0.0,10
