id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words,compression_ratio,is_bullet_format,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
38264402,tech,bullet_points_3_shot,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales is ""disappointing"", a charity has said.",3525,15,17,0.8823529411764706,0,0.3125,0.13333333333333333,0.25,0.9122166633605957,0.9157290458679199,0.9139695167541504
34227252,entertainment,bullet_points_3_shot,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296108484268188,0.9182326793670654,0.9238867163658142
38537698,tech,bullet_points_3_shot,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.8844709396362305,0.8978120684623718
36175342,sport,bullet_points_3_shot,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
39070183,tech,bullet_points_3_shot,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.","Summary: Using a ""fasting-mimicking"" diet can reverse the symptoms of type 1 and type 2 diabetes, a study suggests.",3585,19,17,1.1176470588235294,0,0.37837837837837834,0.0,0.16216216216216214,0.8585860729217529,0.888371467590332,0.8732248544692993
38899892,business,bullet_points_3_shot,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between two of the world's biggest companies, there's a good chance you'll find it.",6147,24,24,1.0,0,0.15384615384615383,0.0,0.07692307692307691,0.8684709668159485,0.8646644949913025,0.8665635585784912
39339718,sport,bullet_points_3_shot,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","British Cycling chief executive Wendy Houvenaghel has said she feels ""vindicated"" by the organisation's failures in the World Class Programme.",5432,20,19,1.0526315789473684,0,0.2,0.10526315789473685,0.2,0.9131338596343994,0.9117225408554077,0.9124276638031006
34571446,business,bullet_points_3_shot,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,A comedy club in the US has a reputation for being one of the best in the country.,5950,18,27,0.6666666666666666,0,0.3555555555555555,0.0930232558139535,0.22222222222222224,0.8832072615623474,0.8648708462715149,0.8739429116249084
36892983,business,bullet_points_3_shot,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in the early hours of Thursday morning, as the company's rivals sat down to discuss the future of the telecoms giant.",2398,25,29,0.8620689655172413,0,0.3050847457627119,0.07017543859649122,0.23728813559322032,0.8837037682533264,0.8754042983055115,0.8795344233512878
37732028,sport,bullet_points_3_shot,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
32300397,business,bullet_points_3_shot,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,"The University of Queen's in Belfast has announced it will cut its undergraduate and postgraduate places by 1,010 over the next three years.",2309,23,16,1.4375,0,0.28571428571428564,0.05,0.2380952380952381,0.9028245210647583,0.9201194643974304,0.9113900065422058
32672009,tech,bullet_points_3_shot,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,An NHS trust has apologised after 850 leaflets were mistakenly inserted with an appointment letter.,1318,15,20,0.75,0,0.28571428571428575,0.06060606060606061,0.2285714285714286,0.9239463806152344,0.9083549976348877,0.916084349155426
38872899,politics,bullet_points_3_shot,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,"Labour's shadow cabinet leader has said she will not ""frustrate Brexit"" if it fails to back the Brexit bill.",3157,19,22,0.8636363636363636,0,0.380952380952381,0.0,0.28571428571428564,0.8906546235084534,0.903144359588623,0.8968560695648193
37248643,sport,bullet_points_3_shot,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,"The Gulls have agreed a deal to sell midfielder Sean O'Kane to the Cherries for £8m, according to manager Mark Nicholson.",625,21,24,0.875,0,0.2916666666666667,0.08695652173913043,0.20833333333333331,0.8998379707336426,0.8832974433898926,0.8914909958839417
38521798,tech,bullet_points_3_shot,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,"A psychiatric consultant has said he is ""extremely unhappy"" about a visit by a police officer to a ward at a hospital.",1314,22,22,1.0,0,0.3181818181818182,0.14285714285714285,0.22727272727272727,0.9026289582252502,0.9021520018577576,0.9023904204368591
